title,follower_numbers,total_price,unit_price,build_time,region,house_type,floor,house_area,house_type_structure,inside_area,building_type,orientation,building_structure,decoration,users/elevator,elevator,listing_time,transaction_ownership,last_transaction_time,house_use,house_years,ownership,mortgage_info,room_spare_parts,house_verification_code,house_label
阳光星城小区 精装三房两卫 保养很好,15,92.5,7747,未知年建,蔡甸,3室2厅1厨2卫,中楼层 (共7层),119.41㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-05-06,商品房,2016-10-21,普通住宅,满两年,共有,无抵押,已上传房本照片,20210506aJNre,"地铁,VR房源,房本满两年,随时看房"
杨家湾地铁口 南北通透三房 满五年税费少 诚心卖房,26,360.0,31808,2012,洪山,3室2厅1厨2卫,低楼层 (共18层),113.18㎡,平层,89.42㎡,板楼,南 北,钢混结构,简装,两梯四户,有,2021-04-29,商品房,2010-03-16,普通住宅,满五年,共有,无抵押,已上传房本照片,202104299v6jh,"地铁,VR房源,房本满五年,随时看房"
次新小区，通透三房，正看公园，高楼层采光好老证税低,25,174.8,19547,2016,江岸,3室1厅1厨1卫,高楼层 (共33层),89.43㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2021-05-13,商品房,2017-05-27,普通住宅,满两年,共有,有抵押 80万元,已上传房本照片,20201215Wxnvs,"地铁,VR看装修,房本满两年,随时看房"
小区环境优雅，配套成熟，交通便利，居住舒适。,14,146.0,18253,2013,硚口,2室2厅1厨1卫,中楼层 (共32层),79.99㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯五户,有,2021-05-22,商品房,2019-05-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210522NRnQu,"地铁,VR看装修,房本满两年,随时看房"
此房满五年后期税费少，户型方正户型好，实用性好,28,112.0,11619,2012,东西湖,3室2厅1厨1卫,低楼层 (共17层),96.4㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2021-05-14,商品房,2012-10-17,普通住宅,满五年,共有,无抵押,已上传房本照片,202005193ssWX,"VR房源,房本满五年,随时看房"
东方城 3室2厅 南,16,97.0,10081,2016,黄陂,3室2厅1厨2卫,中楼层 (共28层),96.23㎡,平层,71.85㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-05,商品房,2014-01-15,普通住宅,满五年,非共有,有抵押 15万元,已上传房本照片, 20210505ok14P ,"地铁,VR看装修,房本满五年,随时看房"
徐东小3房 ，中高楼层采光好，居家装修，证满两年,10,187.0,22212,2011,洪山,3室1厅1厨1卫,高楼层 (共28层),84.19㎡,平层,61.94㎡,板楼,北 南,钢混结构,精装,两梯四户,有,2021-05-22,商品房,2015-04-14,普通住宅,满五年,共有,有抵押 30万元,已上传房本照片,20191227TxlN0,"地铁,VR房源,房本满五年,随时看房"
金地天悦自住温馨1室1厅1厨一卫房出售,6,86.0,23731,2017,东湖高新,1室1厅1厨1卫,高楼层 (共8层),36.24㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,四梯二十七户,有,2021-05-24,商品房,2017-12-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,202103236WQEH,"VR看装修,房本满两年,随时看房"
时代映象 3室2厅 南,8,165.0,15327,2016,汉阳,3室2厅1厨2卫,高楼层 (共33层),107.66㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,2021-05-23,商品房,2020-10-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20210524bXPtu ,"地铁,VR看装修,随时看房"
电力新村 74.35平 165万诚心出售,15,164.0,22058,1998,武昌,2室1厅1厨1卫,中楼层 (共7层),74.35㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,一梯两户,无,2021-05-24,商品房,1999-10-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210524UxGMo,"VR看装修,房本满五年,随时看房"
香港路2005年电梯房少有边户 厅有窗的2室户型,9,173.0,23178,2005,江岸,2室1厅1厨1卫,低楼层 (共30层),74.64㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,四梯二十四户,有,2021-05-19,商品房,2007-11-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210203EUGW9,"地铁,VR看装修,房本满五年,随时看房"
一线湖景 静安北区  高楼 满五一套 置换诚售 有钥匙,14,302.0,22099,2009,武昌,3室2厅1厨2卫,中楼层 (共19层),136.66㎡,平层,104.91㎡,塔楼,东南,钢混结构,精装,两梯三户,有,2021-05-17,商品房,2010-11-10,普通住宅,满五年,非共有,有抵押 200万元 中信银行 客户偿还,已上传房本照片,20210518l5HCV,"地铁,VR看装修,房本满五年,随时看房"
中南丁字桥百瑞景六期毛坯 纯朝南三房 看房方便,7,380.0,34173,2017,武昌,3室2厅1厨1卫,低楼层 (共42层),111.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2021-05-24,商品房,2021-05-07,普通住宅,未满两年,非共有,有抵押 110万元 工商银行 客户偿还,已上传房本照片,20210512S3w1q,"VR看装修,随时看房"
常青花园第一社区 1室2厅 东南,0,110.0,17869,1996,东西湖,1室2厅1厨1卫,低楼层 (共6层),61.56㎡,平层,53.16㎡,板塔结合,东南,钢混结构,简装,一梯四户,无,2021-05-21,商品房,2009-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,20201231iwvAU,"VR房源,房本满五年,随时看房"
三角湖地铁外校精装三房，老证中间楼层通透户型,17,170.0,14260,2008,沌口开发区,3室2厅1厨2卫,中楼层 (共11层),119.22㎡,平层,99.18㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-05-10,商品房,2012-06-20,普通住宅,满五年,共有,无抵押,已上传房本照片,20210422rDwwq,"地铁,VR看装修,房本满五年,随时看房"
产证满五唯一，视野好，人车分流，小区绿化好,28,208.0,22997,2013,洪山,3室2厅1厨1卫,高楼层 (共34层),90.45㎡,平层,67.87㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-13,商品房,2013-08-15,普通住宅,满五年,非共有,有抵押 20万元 建设 业主自还,已上传房本照片,20210513YfmIr,"VR看装修,房本满五年,随时看房"
新世界恒大华府103平通透小三房，精装修，产证满二,8,270.0,26110,2012,东湖高新,3室2厅1厨2卫,低楼层 (共30层),103.41㎡,平层,82.46㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-07,商品房,2013-11-04,普通住宅,满五年,共有,无抵押,已上传房本照片,202105078aFOr,"VR看装修,房本满五年,随时看房"
老证  大三房  两卫  高楼层  视野无遮挡,8,123.0,10360,2011,蔡甸,3室2厅1厨2卫,中楼层 (共32层),118.73㎡,平层,98.43㎡,塔楼,北,钢混结构,精装,两梯四户,有,2020-12-31,商品房,2015-11-19,普通住宅,满五年,共有,有抵押,已上传房本照片,202101089wHKt,"地铁,VR看装修,房本满五年,随时看房"
清江山水 临人工湖 南北通透格局 三房两卫 产证满两年,1,305.0,24247,2011,东湖高新,3室2厅1厨2卫,高楼层 (共18层),125.79㎡,平层,104.54㎡,板塔结合,南 北,钢混结构,简装,两梯三户,有,2021-05-27,商品房,2016-10-27,普通住宅,满两年,非共有,有抵押 130万元 兴业银行股份有限公司武汉分行 客户偿还,已上传房本照片,20210527DbhDs,"VR房源,房本满两年"
江景园双地铁好三房 业主诚心卖,5,248.0,17671,2003,汉阳,3室2厅1厨2卫,高楼层 (共13层),140.35㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯四户,有,2021-05-19,商品房,2017-06-01,普通住宅,满两年,非共有,有抵押 150万元 银行 业主自还,已上传房本照片,20200518oBWVr,"地铁,VR房源,房本满两年"
采光好，楼层也是很好的，公摊小，电梯房,4,152.0,16923,2007,江岸,2室1厅1厨1卫,中楼层 (共11层),89.82㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-05-05,商品房,2017-06-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,20190320XJQQM,"VR房源,房本满两年,随时看房"
小区安静 中高楼层 采光视野好 精致装修,16,248.0,24127,2004,东湖高新,3室1厅1厨1卫,中楼层 (共11层),102.79㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,两梯十六户,有,2021-05-09,商品房,2005-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210511rCZA6,"VR房源,房本满五年,随时看房"
汤逊湖壹号壹号经典两房业主诚心出售,15,123.0,15606,2015,江夏,2室2厅1厨1卫,中楼层 (共33层),78.82㎡,平层,60.8㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2021-05-10,商品房,2017-11-13,普通住宅,满两年,共有,有抵押 60万元 客户偿还,已上传房本照片,2021051139Sp7,"VR看装修,房本满两年,随时看房"
采光充足、日照房、结婚装修、全房柜体、装修15万。,15,159.0,24736,2017,江汉,2室2厅1厨1卫,中楼层 (共34层),64.28㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,三梯六户,有,2021-05-10,商品房,2018-03-15,普通住宅,满两年,非共有,有抵押 42万元 业主自还,已上传房本照片,20210510OcrJr,"地铁,VR看装修,房本满两年,随时看房"
品质小区 精装小三房 中间楼层 双地铁 户型方正采光好,17,180.0,20372,2017,江岸,3室2厅1厨1卫,中楼层 (共34层),88.36㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-05-04,商品房,2019-01-18,普通住宅,满两年,非共有,有抵押 50万元 客户偿还,已上传房本照片,20210504UkCsR,"地铁,VR房源,房本满两年"
水果湖张家湾 南北通透中间楼层 省直供暖 加装电梯,2,430.0,39845,1994,武昌,2室2厅1厨1卫,中楼层 (共8层),107.92㎡,平层,95.8㎡,板楼,南 北,钢混结构,简装,一梯两户,无,2021-05-24,商品房,2010-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210527KxD02,"VR看装修,房本满五年"
星悦城一期 品牌精致婚修 近地铁 无遮挡 房东诚心急售,18,166.0,20670,2013,江岸,2室2厅1厨1卫,低楼层 (共34层),80.31㎡,平层,61.36㎡,板楼,东南,钢混结构,精装,两梯四户,有,2021-05-20,商品房,2018-02-01,普通住宅,满两年,非共有,有抵押 40万元 工商银行 客户偿还,已上传房本照片,20210520tpjb6,"地铁,VR看装修,房本满两年,随时看房"
【好房必看】南北通透三房装修新  享30平朝南花园,10,207.0,16096,2004,江岸,3室2厅1厨2卫,低楼层 (共11层),128.61㎡,平层,106.77㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2021-05-13,商品房,2016-04-25,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,20210515D8Ywc,"VR房源,房本满五年"
光谷软件园 花园洋房 自住精装修 带车位,10,430.0,30077,2014,东湖高新,4室2厅1厨2卫,高楼层 (共6层),142.97㎡,平层,142.97㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-05-19,商品房,2018-07-17,普通住宅,满两年,共有,无抵押,已上传房本照片,20210521fBahr,"VR看装修,房本满两年"
万科上西区   无户口  有学籍    有钥匙  诚意出售,15,300.0,38800,2008,东湖高新,4室2厅1厨2卫,高楼层 (共6层),77.32㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-05-17,商品房,2017-08-28,普通住宅,满两年,非共有,有抵押 40万元,已上传房本照片,20210517IptZL,"VR房源,房本满两年,随时看房"
水岸星城B区，双阳台湖景大三房,9,410.0,29663,2008,武昌,3室1厅1厨2卫,中楼层 (共32层),138.22㎡,平层,109.77㎡,板楼,南,钢混结构,简装,两梯三户,有,2021-05-07,商品房,2013-01-07,普通住宅,满五年,非共有,有抵押 25万元 兴业银行 业主自还,已上传房本照片,20200513veTlN,"VR看装修,房本满五年,随时看房"
品牌开发商，品质小区，无遮挡，楼层好，业主诚心卖。,12,208.8,23320,2015,江岸,3室2厅1厨1卫,低楼层 (共32层),89.54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-05-13,商品房,2016-10-10,普通住宅,满两年,共有,无抵押,已上传房本照片,20210516R570g,"地铁,VR看装修,房本满两年,随时看房"
精装南北通透两房，满两年，业主诚心出售。,23,200.0,23133,2012,洪山,2室1厅1厨1卫,中楼层 (共14层),86.46㎡,平层,68.46㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-22,商品房,2017-03-09,普通住宅,满两年,共有,有抵押 25万元 未知 客户偿还,已上传房本照片,202105237A4qT,"VR看装修,房本满两年,随时看房"
大华南湖公园世家一期 4室2厅 南 北,22,290.0,17902,2005,洪山,4室2厅1厨2卫,低楼层 (共12层),162㎡,平层,132.52㎡,板楼,南 北,钢混结构,简装,一梯三户,有,2021-05-24,商品房,2012-06-11,普通住宅,满五年,非共有,有抵押 220万元,已上传房本照片,20200427bKFFt,"VR看装修,房本满五年"
满五唯一，高楼层，业主诚心出售。,0,179.0,19480,2010,东湖高新,2室2厅1厨1卫,高楼层 (共33层),91.89㎡,平层,74.4㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-05-17,商品房,2012-06-06,普通住宅,满五年,共有,无抵押,已上传房本照片,20210520eAR0U,"VR看装修,房本满五年"
"正地铁口,满二自住装修，户型方正，",11,270.0,24548,2017,东湖高新,3室2厅1厨2卫,低楼层 (共33层),109.99㎡,平层,86.1㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-15,商品房,2018-07-05,普通住宅,满两年,共有,有抵押 35万元 工商银行 客户偿还,已上传房本照片,20210516KSE68,"地铁,VR看装修,房本满两年,随时看房"
经典花园洋房，40平花园，110平地下室，随时看房,14,386.0,26122,2010,洪山,6室2厅1厨3卫,低楼层 (共5层),147.77㎡,跃层,128.65㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,2021-05-22,商品房,2013-07-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2019123073Adm,"VR房源,房本满五年,随时看房"
街道口地铁口，住宅楼一居室，带天然气，八百里加吉售,7,63.0,14951,2000,武昌,1室1厅1厨1卫,中楼层 (共18层),42.14㎡,平层,33.22㎡,板塔结合,南,钢混结构,简装,三梯十一户,有,2021-05-21,经济适用房,2010-09-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210522qf2AI,"地铁,VR看装修,房本满五年,随时看房"
双地铁口  精装修 老证 诚心出售,35,335.0,28335,2016,江岸,3室2厅1厨2卫,高楼层 (共34层),118.23㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-05-07,商品房,2019-03-08,普通住宅,满两年,非共有,有抵押 40万元 业主自还,已上传房本照片,20210508qHkwd,"地铁,VR看装修,房本满两年"
天琴湾  毛坯复式楼   户型方正    采光好,17,71.0,5993,2014,新洲,3室2厅1厨2卫,高楼层 (共24层),118.48㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯四户,有,2021-03-14,商品房,2018-02-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200913xjWn8,"VR看装修,房本满两年,随时看房"
满五唯一税费少，全新装修从未入住，复式结构，随时看,12,133.0,14643,未知年建,蔡甸,4室2厅1厨2卫,中楼层 (共17层),90.83㎡,复式,71.27㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-04-07,商品房,2015-04-21,普通住宅,满五年,共有,有抵押 34万元 银行 客户偿还,已上传房本照片,20190802h3PoX,"VR房源,房本满五年,随时看房"
复兴路地铁口人民医院旁两室一厅采光好 业主急售,4,117.0,17429,1996,武昌,2室1厅1厨1卫,高楼层 (共7层),67.13㎡,平层,暂无数据,塔楼,南,钢混结构,简装,一梯四户,无,2021-05-24,商品房,2017-02-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200521arKes ,"地铁,VR房源,房本满两年,随时看房"
愉景湾，武湖站，新城区不限制户口，萝卜价出售,19,50.8,16667,未知年建,黄陂,2室2厅1厨2卫,中楼层 (共5层),30.48㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯十六户,有,2021-03-30,商品房,2017-05-01,普通住宅,满两年,共有,无抵押,已上传房本照片,20200115hvj3L,"VR房源,房本满两年,随时看房"
精装两房，方正户型，老证，随时看房,2,97.0,10322,2014,黄陂,2室2厅1厨1卫,中楼层 (共29层),93.98㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2021-05-22,商品房,2019-02-15,普通住宅,满两年,共有,有抵押 18万元 华夏银行,已上传房本照片,20201231BVuj1,"VR看装修,房本满两年,随时看房"
地铁口 全明户型 中间楼层 诚心出售,17,345.0,34927,2009,洪山,3室2厅1厨2卫,低楼层 (共28层),98.78㎡,平层,78.61㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-26,商品房,2013-04-03,普通住宅,满五年,共有,无抵押,已上传房本照片,202010157VROB,"地铁,VR房源,房本满五年"
满五唯一，税费少业主诚心急售，带阳光房,17,138.0,13525,2003,沌口开发区,3室2厅1厨1卫,中楼层 (共6层),102.04㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-05-02,商品房,2010-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,202103223YUn7,"VR房源,房本满五年,随时看房"
新世界恒大华府 观景大四居 满二 家具全留 拎包入住！,15,400.0,25444,2013,东湖高新,4室2厅1厨2卫,中楼层 (共26层),157.21㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-05-19,商品房,2017-12-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,20191227u0fWv,"VR看装修,房本满两年"
清江山水 四房两卫 视野开阔 业主诚售,51,237.0,22321,2014,东湖高新,4室2厅1厨2卫,中楼层 (共32层),106.18㎡,平层,78.22㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2021-05-08,商品房,2015-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210509hZImD,"VR看装修,房本满五年"
美加六期自住精装修三房中高楼层俩证满俩年诚心出售,5,150.0,14031,2016,江夏,3室2厅1厨1卫,中楼层 (共33层),106.91㎡,平层,84.51㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-21,商品房,2017-11-27,普通住宅,满两年,非共有,有抵押 42万元 客户偿还,已上传房本照片,20210522JSF6I,"VR看装修,房本满两年,随时看房"
水晶郦都优质两房，价格优惠，楼栋装修好,20,130.0,14829,2015,江夏,2室2厅1厨1卫,高楼层 (共32层),87.67㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-05-23,商品房,2017-02-27,普通住宅,满两年,非共有,有抵押 50万元 客户偿还,已上传房本照片,202105238ctjW,"VR看装修,房本满两年,随时看房"
满二 居家精装 保养新 中间位置 不临路 视野开阔,22,235.0,26470,2015,东湖高新,3室2厅1厨1卫,高楼层 (共34层),88.78㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,2021-05-14,商品房,2016-11-25,普通住宅,满两年,非共有,有抵押 27万元 公积金 客户偿还,已上传房本照片,20210515Ai0qF,"地铁,VR看装修,房本满两年,随时看房"
诚心出售南湖半岛一线湖景房，楼层好，两证满电梯入户,11,358.0,21866,2010,洪山,4室2厅1厨2卫,高楼层 (共32层),163.73㎡,平层,126.17㎡,板楼,南 北,钢混结构,毛坯,两梯两户,有,2021-05-09,商品房,2013-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210511lJ4sx,"VR看装修,房本满五年,随时看房"
万科花山紫悦湾 3室2厅 南,6,164.9,19024,2018,东湖高新,3室2厅1厨1卫,高楼层 (共16层),86.68㎡,平层,67.91㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-07,商品房,2018-07-20,普通住宅,满两年,共有,无抵押,已上传房本照片,20210328vC5IO,"VR看装修,房本满两年,随时看房"
同鑫花园 老证 一梯两户  近地铁3号线,4,143.0,16532,2007,江岸,2室2厅1厨1卫,低楼层 (共6层),86.5㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2021-05-23,商品房,2009-12-07,普通住宅,满五年,共有,无抵押,已上传房本照片,20210523gxUqT,"VR看装修,房本满五年"
纽宾凯蜜城 三房 中高楼层，准地铁 证满,21,165.5,18854,2016,汉阳,3室2厅1厨1卫,中楼层 (共34层),87.78㎡,平层,70.16㎡,板塔结合,南,钢混结构,简装,三梯六户,有,2021-05-02,商品房,2018-11-02,普通住宅,满两年,非共有,无抵押,已上传房本照片,20180601O5IPC,"VR房源,房本满两年,随时看房"
阳光100精装3房2卫带书房  样板间 满二 业主诚心出售,11,137.0,10983,2015,江夏,3室2厅1厨2卫,低楼层 (共25层),124.74㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-05-10,商品房,2017-01-17,普通住宅,满两年,共有,有抵押 47万元,已上传房本照片,202004138fKqF ,"VR看装修,房本满两年,随时看房"
恒大绿洲近地铁老证三房两卫，采光佳、保养好,9,124.8,11246,未知年建,蔡甸,3室2厅1厨2卫,低楼层 (共30层),110.98㎡,平层,91.94㎡,塔楼,北,钢混结构,精装,两梯四户,有,2021-01-06,商品房,2014-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210108U604k,"地铁,VR看装修,房本满五年,随时看房"
金沙泊岸带入户带翅膀，满两年带车位 业主诚心出售！,15,510.0,37642,2018,武昌,3室2厅1厨2卫,低楼层 (共53层),135.49㎡,平层,103.9㎡,塔楼,南,钢混结构,毛坯,七梯八户,有,2021-05-21,商品房,2019-02-01,普通住宅,满两年,共有,有抵押 60万元 汉口银行 客户偿还,已上传房本照片,20210522bblPF,"VR看装修,房本满两年,随时看房"
东方花都F区 电梯南北通透两房  老证无贷款  诚心出售,17,140.0,16187,未知年建,江岸,2室2厅1厨1卫,低楼层 (共11层),86.49㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯一户,有,2021-04-29,商品房,2009-04-29,普通住宅,满五年,共有,无抵押,已上传房本照片,20210102vXj9M,"VR房源,房本满五年,随时看房"
小区距离地铁口有600米，小三房有钥匙，满五唯一,21,133.5,14338,未知年建,江夏,3室2厅1厨1卫,高楼层 (共22层),93.11㎡,平层,69.62㎡,塔楼,南,钢混结构,精装,两梯四户,有,2021-05-04,商品房,2015-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,	20200115kMYDH,"地铁,VR看装修,房本满五年,随时看房"
正地铁口8号线 交通便利  高楼层阳光好 老证税费低,14,150.0,20693,2015,江岸,2室1厅1厨1卫,高楼层 (共45层),72.49㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,2021-05-14,商品房,2018-05-21,普通住宅,满两年,共有,无抵押,已上传房本照片,20210507DEV3h,"地铁,VR看装修,房本满两年,随时看房"
现代城四区毛坯两房 电梯高层 有钥匙 随时看房,17,182.0,22258,2017,江岸,2室1厅1厨1卫,高楼层 (共32层),81.77㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-05-15,商品房,2018-10-30,普通住宅,满两年,共有,无抵押,已上传房本照片,20200605JWI0y,"VR看装修,房本满两年,随时看房"
保利蓝海郡G11栋房东诚心出售,10,210.0,22827,2013,洪山,3室2厅1厨1卫,低楼层 (共33层),92㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-04-25,商品房,2016-10-19,普通住宅,满两年,共有,无抵押,已上传房本照片,202104292uxaN,"VR房源,房本满两年,随时看房"
地铁口  南北通透大两房  单价低   看房方便！,18,88.0,10421,2007,汉阳,2室2厅1厨1卫,低楼层 (共6层),84.45㎡,平层,74.23㎡,板楼,南 北,混合结构,简装,两梯两户,有,2021-05-16,商品房,2018-01-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210516S3kTT,"地铁,VR看装修,房本满两年,随时看房"
东边户，纯朝南，中高楼层，满二年 ，诚心卖,18,245.0,22170,2016,东湖高新,3室2厅1厨1卫,高楼层 (共33层),110.51㎡,平层,89.47㎡,板楼,南,钢混结构,简装,两梯五户,有,2021-05-08,商品房,2019-01-14,普通住宅,满两年,共有,无抵押,已上传房本照片,20210508xx1r3,"VR看装修,房本满两年"
